index,file_name,subject_ID,orientation,orientation_category,test_group_criteria,test_group_classification
115,N58634_dwi_mask_OF_prepped_RPI.nii.gz,N58634,RPI,18,0.09758789,0
116,N58634_dwi_mask_OF_prepped_RSP.nii.gz,N58634,RSP,19,0.926352088,0
117,N58634_dwi_mask_OF_prepped_SAL.nii.gz,N58634,SAL,20,0.781182835,0
118,N58634_dwi_mask_OF_prepped_SLP.nii.gz,N58634,SLP,21,0.517123411,0
119,N58634_dwi_mask_OF_prepped_SPR.nii.gz,N58634,SPR,22,0.215248509,0
120,N58634_dwi_mask_OF_prepped_SRA.nii.gz,N58634,SRA,23,0.992120769,0
121,N58635_dwi_mask_OF_prepped_AIL.nii.gz,N58635,AIL,0,0.846468143,0
122,N58635_dwi_mask_OF_prepped_ALS.nii.gz,N58635,ALS,1,0.79158965,0
123,N58635_dwi_mask_OF_prepped_ARI.nii.gz,N58635,ARI,2,0.59322345,0
124,N58635_dwi_mask_OF_prepped_ASR.nii.gz,N58635,ASR,3,0.660201024,0
125,N58635_dwi_mask_OF_prepped_IAR.nii.gz,N58635,IAR,4,0.633529321,0
126,N58635_dwi_mask_OF_prepped_ILA.nii.gz,N58635,ILA,5,0.604348652,0
127,N58635_dwi_mask_OF_prepped_IPL.nii.gz,N58635,IPL,6,0.630847005,0
128,N58635_dwi_mask_OF_prepped_IRP.nii.gz,N58635,IRP,7,0.590766386,0
129,N58635_dwi_mask_OF_prepped_LAI.nii.gz,N58635,LAI,8,0.348179624,0
130,N58635_dwi_mask_OF_prepped_LIP.nii.gz,N58635,LIP,9,0.148351646,0
131,N58635_dwi_mask_OF_prepped_LPS.nii.gz,N58635,LPS,10,0.756306711,0
132,N58635_dwi_mask_OF_prepped_LSA.nii.gz,N58635,LSA,11,0.851383804,0
133,N58635_dwi_mask_OF_prepped_PIR.nii.gz,N58635,PIR,12,0.603204349,0
134,N58635_dwi_mask_OF_prepped_PLI.nii.gz,N58635,PLI,13,0.056921479,0
135,N58635_dwi_mask_OF_prepped_PRS.nii.gz,N58635,PRS,14,0.872167864,0
136,N58635_dwi_mask_OF_prepped_PSL.nii.gz,N58635,PSL,15,0.372512025,0
137,N58635_dwi_mask_OF_prepped_RAS.nii.gz,N58635,RAS,16,0.433663422,0
138,N58635_dwi_mask_OF_prepped_RIA.nii.gz,N58635,RIA,17,0.30699873,0
139,N58635_dwi_mask_OF_prepped_RPI.nii.gz,N58635,RPI,18,0.666881919,0
140,N58635_dwi_mask_OF_prepped_RSP.nii.gz,N58635,RSP,19,0.522063719,0
141,N58635_dwi_mask_OF_prepped_SAL.nii.gz,N58635,SAL,20,0.325636922,0
142,N58635_dwi_mask_OF_prepped_SLP.nii.gz,N58635,SLP,21,0.191971795,0
143,N58635_dwi_mask_OF_prepped_SPR.nii.gz,N58635,SPR,22,0.759208714,0
144,N58635_dwi_mask_OF_prepped_SRA.nii.gz,N58635,SRA,23,0.544721266,0
147,N58636_dwi_mask_OF_prepped_ARI.nii.gz,N58636,ARI,2,0.42339402,1
148,N58636_dwi_mask_OF_prepped_ASR.nii.gz,N58636,ASR,3,0.702328934,1
149,N58636_dwi_mask_OF_prepped_IAR.nii.gz,N58636,IAR,4,0.226987899,1
150,N58636_dwi_mask_OF_prepped_ILA.nii.gz,N58636,ILA,5,0.436026618,1
151,N58636_dwi_mask_OF_prepped_IPL.nii.gz,N58636,IPL,6,0.509710719,1
152,N58636_dwi_mask_OF_prepped_IRP.nii.gz,N58636,IRP,7,0.615834067,1
153,N58636_dwi_mask_OF_prepped_LAI.nii.gz,N58636,LAI,8,0.022903482,1
154,N58636_dwi_mask_OF_prepped_LIP.nii.gz,N58636,LIP,9,0.228788486,1
155,N58636_dwi_mask_OF_prepped_LPS.nii.gz,N58636,LPS,10,0.988162733,1
156,N58636_dwi_mask_OF_prepped_LSA.nii.gz,N58636,LSA,11,0.490543999,1
157,N58636_dwi_mask_OF_prepped_PIR.nii.gz,N58636,PIR,12,0.634048633,1
158,N58636_dwi_mask_OF_prepped_PLI.nii.gz,N58636,PLI,13,0.024148536,1
159,N58636_dwi_mask_OF_prepped_PRS.nii.gz,N58636,PRS,14,0.517228582,1
160,N58636_dwi_mask_OF_prepped_PSL.nii.gz,N58636,PSL,15,0.386496127,1
161,N58636_dwi_mask_OF_prepped_RAS.nii.gz,N58636,RAS,16,0.626563694,1
162,N58636_dwi_mask_OF_prepped_RIA.nii.gz,N58636,RIA,17,0.112653168,1
163,N58636_dwi_mask_OF_prepped_RPI.nii.gz,N58636,RPI,18,0.368677918,1
164,N58636_dwi_mask_OF_prepped_RSP.nii.gz,N58636,RSP,19,0.091537442,1
165,N58636_dwi_mask_OF_prepped_SAL.nii.gz,N58636,SAL,20,0.805321931,1
166,N58636_dwi_mask_OF_prepped_SLP.nii.gz,N58636,SLP,21,0.916817904,1
167,N58636_dwi_mask_OF_prepped_SPR.nii.gz,N58636,SPR,22,0.953679795,1
168,N58636_dwi_mask_OF_prepped_SRA.nii.gz,N58636,SRA,23,0.383767526,1
169,N58649_dwi_mask_OF_prepped_AIL.nii.gz,N58649,AIL,0,0.377054049,1
170,N58649_dwi_mask_OF_prepped_ALS.nii.gz,N58649,ALS,1,0.230724988,1
171,N58649_dwi_mask_OF_prepped_ARI.nii.gz,N58649,ARI,2,0.621601566,1
172,N58649_dwi_mask_OF_prepped_ASR.nii.gz,N58649,ASR,3,0.358570146,1
173,N58649_dwi_mask_OF_prepped_IAR.nii.gz,N58649,IAR,4,0.298420119,1
174,N58649_dwi_mask_OF_prepped_ILA.nii.gz,N58649,ILA,5,0.475184301,1
175,N58649_dwi_mask_OF_prepped_IPL.nii.gz,N58649,IPL,6,0.151176271,1
176,N58649_dwi_mask_OF_prepped_IRP.nii.gz,N58649,IRP,7,0.763535685,1
177,N58649_dwi_mask_OF_prepped_LAI.nii.gz,N58649,LAI,8,0.060187202,1
178,N58649_dwi_mask_OF_prepped_LIP.nii.gz,N58649,LIP,9,0.836391499,1
179,N58649_dwi_mask_OF_prepped_LPS.nii.gz,N58649,LPS,10,0.912095793,1
180,N58649_dwi_mask_OF_prepped_LSA.nii.gz,N58649,LSA,11,0.754525337,1
181,N58649_dwi_mask_OF_prepped_PIR.nii.gz,N58649,PIR,12,0.67749069,1
182,N58649_dwi_mask_OF_prepped_PLI.nii.gz,N58649,PLI,13,0.110976899,1
183,N58649_dwi_mask_OF_prepped_PRS.nii.gz,N58649,PRS,14,0.442802097,1
184,N58649_dwi_mask_OF_prepped_PSL.nii.gz,N58649,PSL,15,0.938957652,1
185,N58649_dwi_mask_OF_prepped_RAS.nii.gz,N58649,RAS,16,0.123916695,1
186,N58649_dwi_mask_OF_prepped_RIA.nii.gz,N58649,RIA,17,0.469641754,1
187,N58649_dwi_mask_OF_prepped_RPI.nii.gz,N58649,RPI,18,0.21312176,1
188,N58649_dwi_mask_OF_prepped_RSP.nii.gz,N58649,RSP,19,0.455419055,1
189,N58649_dwi_mask_OF_prepped_SAL.nii.gz,N58649,SAL,20,0.628192199,1
190,N58649_dwi_mask_OF_prepped_SLP.nii.gz,N58649,SLP,21,0.862066221,1
191,N58649_dwi_mask_OF_prepped_SPR.nii.gz,N58649,SPR,22,0.258017488,1
192,N58649_dwi_mask_OF_prepped_SRA.nii.gz,N58649,SRA,23,0.282850669,1
337,N58819_dwi_mask_OF_prepped_AIL.nii.gz,N58819,AIL,0,0.397745001,1
338,N58819_dwi_mask_OF_prepped_ALS.nii.gz,N58819,ALS,1,0.696220211,1
193,N58650_dwi_mask_OF_prepped_AIL.nii.gz,N58650,AIL,0,0.477624898,0
194,N58650_dwi_mask_OF_prepped_ALS.nii.gz,N58650,ALS,1,0.086051625,0
195,N58650_dwi_mask_OF_prepped_ARI.nii.gz,N58650,ARI,2,0.312467243,0
196,N58650_dwi_mask_OF_prepped_ASR.nii.gz,N58650,ASR,3,0.032116723,0
197,N58650_dwi_mask_OF_prepped_IAR.nii.gz,N58650,IAR,4,0.146446223,0
198,N58650_dwi_mask_OF_prepped_ILA.nii.gz,N58650,ILA,5,0.12774252,0
199,N58650_dwi_mask_OF_prepped_IPL.nii.gz,N58650,IPL,6,0.553033438,0
200,N58650_dwi_mask_OF_prepped_IRP.nii.gz,N58650,IRP,7,0.876254248,0
201,N58650_dwi_mask_OF_prepped_LAI.nii.gz,N58650,LAI,8,0.980515966,0
202,N58650_dwi_mask_OF_prepped_LIP.nii.gz,N58650,LIP,9,0.26706928,0
203,N58650_dwi_mask_OF_prepped_LPS.nii.gz,N58650,LPS,10,0.41376931,0
204,N58650_dwi_mask_OF_prepped_LSA.nii.gz,N58650,LSA,11,0.874864092,0
205,N58650_dwi_mask_OF_prepped_PIR.nii.gz,N58650,PIR,12,0.441139881,0
206,N58650_dwi_mask_OF_prepped_PLI.nii.gz,N58650,PLI,13,0.37217965,0
207,N58650_dwi_mask_OF_prepped_PRS.nii.gz,N58650,PRS,14,0.72300694,0
208,N58650_dwi_mask_OF_prepped_PSL.nii.gz,N58650,PSL,15,0.164983533,0
209,N58650_dwi_mask_OF_prepped_RAS.nii.gz,N58650,RAS,16,0.14943477,0
210,N58650_dwi_mask_OF_prepped_RIA.nii.gz,N58650,RIA,17,0.769669429,0
211,N58650_dwi_mask_OF_prepped_RPI.nii.gz,N58650,RPI,18,0.200541649,0
212,N58650_dwi_mask_OF_prepped_RSP.nii.gz,N58650,RSP,19,0.175935339,0
213,N58650_dwi_mask_OF_prepped_SAL.nii.gz,N58650,SAL,20,0.807527768,0
214,N58650_dwi_mask_OF_prepped_SLP.nii.gz,N58650,SLP,21,0.234297597,0
215,N58650_dwi_mask_OF_prepped_SPR.nii.gz,N58650,SPR,22,0.694374093,0
216,N58650_dwi_mask_OF_prepped_SRA.nii.gz,N58650,SRA,23,0.43004618,0
217,N58651_dwi_mask_OF_prepped_AIL.nii.gz,N58651,AIL,0,0.086228431,0
218,N58651_dwi_mask_OF_prepped_ALS.nii.gz,N58651,ALS,1,0.827806346,0
219,N58651_dwi_mask_OF_prepped_ARI.nii.gz,N58651,ARI,2,0.73587296,0
220,N58651_dwi_mask_OF_prepped_ASR.nii.gz,N58651,ASR,3,0.571280879,0
221,N58651_dwi_mask_OF_prepped_IAR.nii.gz,N58651,IAR,4,0.329299759,0
222,N58651_dwi_mask_OF_prepped_ILA.nii.gz,N58651,ILA,5,0.436083152,0
223,N58651_dwi_mask_OF_prepped_IPL.nii.gz,N58651,IPL,6,0.700936126,0
224,N58651_dwi_mask_OF_prepped_IRP.nii.gz,N58651,IRP,7,0.472519554,0
225,N58651_dwi_mask_OF_prepped_LAI.nii.gz,N58651,LAI,8,0.956364027,0
226,N58651_dwi_mask_OF_prepped_LIP.nii.gz,N58651,LIP,9,0.090645608,0
227,N58651_dwi_mask_OF_prepped_LPS.nii.gz,N58651,LPS,10,0.308099703,0
228,N58651_dwi_mask_OF_prepped_LSA.nii.gz,N58651,LSA,11,0.567257875,0
229,N58651_dwi_mask_OF_prepped_PIR.nii.gz,N58651,PIR,12,0.62908102,0
230,N58651_dwi_mask_OF_prepped_PLI.nii.gz,N58651,PLI,13,0.781939592,0
231,N58651_dwi_mask_OF_prepped_PRS.nii.gz,N58651,PRS,14,0.358579551,0
232,N58651_dwi_mask_OF_prepped_PSL.nii.gz,N58651,PSL,15,0.065347989,0
233,N58651_dwi_mask_OF_prepped_RAS.nii.gz,N58651,RAS,16,0.950508777,0
234,N58651_dwi_mask_OF_prepped_RIA.nii.gz,N58651,RIA,17,0.07338069,0
235,N58651_dwi_mask_OF_prepped_RPI.nii.gz,N58651,RPI,18,0.779641186,0
236,N58651_dwi_mask_OF_prepped_RSP.nii.gz,N58651,RSP,19,0.019139919,0
237,N58651_dwi_mask_OF_prepped_SAL.nii.gz,N58651,SAL,20,0.766583749,0
238,N58651_dwi_mask_OF_prepped_SLP.nii.gz,N58651,SLP,21,0.893084655,0
239,N58651_dwi_mask_OF_prepped_SPR.nii.gz,N58651,SPR,22,0.684679921,0
240,N58651_dwi_mask_OF_prepped_SRA.nii.gz,N58651,SRA,23,0.521928327,0
241,N58653_dwi_mask_OF_prepped_AIL.nii.gz,N58653,AIL,0,0.902781672,0
242,N58653_dwi_mask_OF_prepped_ALS.nii.gz,N58653,ALS,1,0.351932377,0
243,N58653_dwi_mask_OF_prepped_ARI.nii.gz,N58653,ARI,2,0.730046555,0
244,N58653_dwi_mask_OF_prepped_ASR.nii.gz,N58653,ASR,3,0.682489359,0
245,N58653_dwi_mask_OF_prepped_IAR.nii.gz,N58653,IAR,4,0.200689959,0
246,N58653_dwi_mask_OF_prepped_ILA.nii.gz,N58653,ILA,5,0.751605236,0
247,N58653_dwi_mask_OF_prepped_IPL.nii.gz,N58653,IPL,6,0.815823343,0
248,N58653_dwi_mask_OF_prepped_IRP.nii.gz,N58653,IRP,7,0.316527209,0
249,N58653_dwi_mask_OF_prepped_LAI.nii.gz,N58653,LAI,8,0.289120214,0
250,N58653_dwi_mask_OF_prepped_LIP.nii.gz,N58653,LIP,9,0.602653687,0
251,N58653_dwi_mask_OF_prepped_LPS.nii.gz,N58653,LPS,10,0.751992235,0
252,N58653_dwi_mask_OF_prepped_LSA.nii.gz,N58653,LSA,11,0.54923809,0
253,N58653_dwi_mask_OF_prepped_PIR.nii.gz,N58653,PIR,12,0.290119476,0
254,N58653_dwi_mask_OF_prepped_PLI.nii.gz,N58653,PLI,13,0.14581941,0
255,N58653_dwi_mask_OF_prepped_PRS.nii.gz,N58653,PRS,14,0.404445198,0
256,N58653_dwi_mask_OF_prepped_PSL.nii.gz,N58653,PSL,15,0.091660646,0
257,N58653_dwi_mask_OF_prepped_RAS.nii.gz,N58653,RAS,16,0.731492609,0
258,N58653_dwi_mask_OF_prepped_RIA.nii.gz,N58653,RIA,17,0.111731532,0
259,N58653_dwi_mask_OF_prepped_RPI.nii.gz,N58653,RPI,18,0.18100262,0
260,N58653_dwi_mask_OF_prepped_RSP.nii.gz,N58653,RSP,19,0.141248134,0
261,N58653_dwi_mask_OF_prepped_SAL.nii.gz,N58653,SAL,20,0.215265842,0
262,N58653_dwi_mask_OF_prepped_SLP.nii.gz,N58653,SLP,21,0.581113556,0
263,N58653_dwi_mask_OF_prepped_SPR.nii.gz,N58653,SPR,22,0.340234134,0
264,N58653_dwi_mask_OF_prepped_SRA.nii.gz,N58653,SRA,23,0.117614461,0
265,N58654_dwi_mask_OF_prepped_AIL.nii.gz,N58654,AIL,0,0.307764449,0
266,N58654_dwi_mask_OF_prepped_ALS.nii.gz,N58654,ALS,1,0.399544849,0
267,N58654_dwi_mask_OF_prepped_ARI.nii.gz,N58654,ARI,2,0.552829301,0
268,N58654_dwi_mask_OF_prepped_ASR.nii.gz,N58654,ASR,3,0.419215541,0
269,N58654_dwi_mask_OF_prepped_IAR.nii.gz,N58654,IAR,4,0.605816217,0
270,N58654_dwi_mask_OF_prepped_ILA.nii.gz,N58654,ILA,5,0.034981601,0
271,N58654_dwi_mask_OF_prepped_IPL.nii.gz,N58654,IPL,6,0.883435393,0
272,N58654_dwi_mask_OF_prepped_IRP.nii.gz,N58654,IRP,7,0.591079437,0
273,N58654_dwi_mask_OF_prepped_LAI.nii.gz,N58654,LAI,8,0.491511785,0
274,N58654_dwi_mask_OF_prepped_LIP.nii.gz,N58654,LIP,9,0.918235078,0
275,N58654_dwi_mask_OF_prepped_LPS.nii.gz,N58654,LPS,10,0.571054069,0
276,N58654_dwi_mask_OF_prepped_LSA.nii.gz,N58654,LSA,11,0.745922262,0
277,N58654_dwi_mask_OF_prepped_PIR.nii.gz,N58654,PIR,12,0.169241638,0
278,N58654_dwi_mask_OF_prepped_PLI.nii.gz,N58654,PLI,13,0.554078816,0
279,N58654_dwi_mask_OF_prepped_PRS.nii.gz,N58654,PRS,14,0.449407527,0
280,N58654_dwi_mask_OF_prepped_PSL.nii.gz,N58654,PSL,15,0.956520073,0
281,N58654_dwi_mask_OF_prepped_RAS.nii.gz,N58654,RAS,16,0.245723453,0
282,N58654_dwi_mask_OF_prepped_RIA.nii.gz,N58654,RIA,17,0.08970935,0
283,N58654_dwi_mask_OF_prepped_RPI.nii.gz,N58654,RPI,18,7.33E-05,0
284,N58654_dwi_mask_OF_prepped_RSP.nii.gz,N58654,RSP,19,0.188401472,0
285,N58654_dwi_mask_OF_prepped_SAL.nii.gz,N58654,SAL,20,0.175184913,0
286,N58654_dwi_mask_OF_prepped_SLP.nii.gz,N58654,SLP,21,0.487401971,0
287,N58654_dwi_mask_OF_prepped_SPR.nii.gz,N58654,SPR,22,0.40933584,0
